id,image_name,label
0,train_0000.jpg,0
1,train_0001.jpg,0
2,train_0002.jpg,0
3,train_0003.jpg,0
4,train_0004.jpg,0
5,train_0005.jpg,0
6,train_0006.jpg,0
7,train_0007.jpg,0
8,train_0008.jpg,0
9,train_0009.jpg,0
10,train_0010.jpg,0
11,train_0011.jpg,0
12,train_0012.jpg,0
13,train_0013.jpg,0
14,train_0014.jpg,0
15,train_0015.jpg,0
16,train_0016.jpg,0
17,train_0017.jpg,0
18,train_0018.jpg,0
19,train_0019.jpg,0
20,train_0020.jpg,0
21,train_0021.jpg,0
22,train_0022.jpg,0
23,train_0023.jpg,0
24,train_0024.jpg,0
25,train_0025.jpg,0
26,train_0026.jpg,0
27,train_0027.jpg,0
28,train_0028.jpg,0
29,train_0029.jpg,0
30,train_0030.jpg,0
31,train_0031.jpg,0
32,train_0032.jpg,0
33,train_0033.jpg,0
34,train_0034.jpg,0
35,train_0035.jpg,0
36,train_0036.jpg,0
37,train_0037.jpg,0
38,train_0038.jpg,0
39,train_0039.jpg,0
40,train_0040.jpg,0
41,train_0041.jpg,0
42,train_0042.jpg,0
43,train_0043.jpg,0
44,train_0044.jpg,0
45,train_0045.jpg,0
46,train_0046.jpg,0
47,train_0047.jpg,0
48,train_0048.jpg,0
49,train_0049.jpg,0
50,train_0050.jpg,0
51,train_0051.jpg,1
52,train_0052.jpg,1
53,train_0053.jpg,1
54,train_0054.jpg,1
55,train_0055.jpg,1
56,train_0056.jpg,1
57,train_0057.jpg,1
58,train_0058.jpg,1
59,train_0059.jpg,1
60,train_0060.jpg,1
61,train_0061.jpg,1
62,train_0062.jpg,1
63,train_0063.jpg,1
64,train_0064.jpg,1
65,train_0065.jpg,1
66,train_0066.jpg,1
67,train_0067.jpg,1
68,train_0068.jpg,1
69,train_0069.jpg,1
70,train_0070.jpg,1
71,train_0071.jpg,1
72,train_0072.jpg,1
73,train_0073.jpg,1
74,train_0074.jpg,1
75,train_0075.jpg,1
76,train_0076.jpg,1
77,train_0077.jpg,1
78,train_0078.jpg,1
79,train_0079.jpg,1
80,train_0080.jpg,1
81,train_0081.jpg,1
82,train_0082.jpg,1
83,train_0083.jpg,1
84,train_0084.jpg,1
85,train_0085.jpg,1
86,train_0086.jpg,1
87,train_0087.jpg,1
88,train_0088.jpg,1
89,train_0089.jpg,1
90,train_0090.jpg,1
91,train_0091.jpg,1
92,train_0092.jpg,1
93,train_0093.jpg,1
94,train_0094.jpg,1
95,train_0095.jpg,1
96,train_0096.jpg,1
97,train_0097.jpg,1
98,train_0098.jpg,1
99,train_0099.jpg,1
100,train_0100.jpg,1
101,train_0101.jpg,1
102,train_0102.jpg,1
103,train_0103.jpg,1
104,train_0104.jpg,1
105,train_0105.jpg,1
106,train_0106.jpg,1
107,train_0107.jpg,1
108,train_0108.jpg,1
109,train_0109.jpg,1
110,train_0110.jpg,1
111,train_0111.jpg,1
112,train_0112.jpg,1
113,train_0113.jpg,1
114,train_0114.jpg,1
115,train_0115.jpg,1
116,train_0116.jpg,1
117,train_0117.jpg,1
118,train_0118.jpg,1
119,train_0119.jpg,1
120,train_0120.jpg,1
121,train_0121.jpg,1
122,train_0122.jpg,1
123,train_0123.jpg,1
124,train_0124.jpg,1
125,train_0125.jpg,1
126,train_0126.jpg,1
127,train_0127.jpg,1
128,train_0128.jpg,1
129,train_0129.jpg,1
130,train_0130.jpg,1
131,train_0131.jpg,1
132,train_0132.jpg,1
133,train_0133.jpg,1
134,train_0134.jpg,1
135,train_0135.jpg,1
136,train_0136.jpg,1
137,train_0137.jpg,1
138,train_0138.jpg,1
139,train_0139.jpg,1
140,train_0140.jpg,1
141,train_0141.jpg,1
142,train_0142.jpg,1
143,train_0143.jpg,1
144,train_0144.jpg,1
145,train_0145.jpg,1
146,train_0146.jpg,1
147,train_0147.jpg,1
148,train_0148.jpg,1
149,train_0149.jpg,1
150,train_0150.jpg,1
151,train_0151.jpg,1
152,train_0152.jpg,1
153,train_0153.jpg,1
154,train_0154.jpg,1
155,train_0155.jpg,1
156,train_0156.jpg,1
157,train_0157.jpg,1
158,train_0158.jpg,1
